OK Computer,Radiohead,1997,54,12,00:04:30,,,,,https://open.spotify.com/album/6dVIqQ8qmQ5GBnJ9shOYGE?si=C-cNQo4hQr-jICnr5huDlA,,,,,,,,
In Rainbows,Radiohead,2007,43,10,00:04:17,,,,,https://open.spotify.com/album/5vkqYmiPBYLaalcmjujWxK?si=cxCg9QAnSCSquwLFcjkGRw,,,,,,,,
Kid A,Radiohead,2000,47,11,00:04:16,,,,,https://open.spotify.com/album/6GjwtEZcfenmOf6l18N7T7?si=d-ks767qRBScBtoG28mJMw,,,,,,,,
The Bends,Radiohead,1995,49,12,00:04:04,,,,,https://open.spotify.com/album/35UJLpClj5EDrhpNIi4DFg?si=L1SbhsauR5-e95raRaNjlQ,,,,,,,,
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,1993,70,15,00:04:40,,,,,https://open.spotify.com/album/3tQd5mwBtVyxCoEo4htGAV?si=Fr3WFxIwQomeN-A2vtXanw,,,,,,,,
Reasonable Doubt,Jay-Z,1996,59,15,00:03:56,,,,,https://open.spotify.com/album/3YPK0bNOuayhmSrs0sIIBR?si=55VLnJvkT9iIaVP1zmP8aw,,,,,,,,
The Black Album,Jay-Z,2003,55,14,00:03:55,,,,,https://open.spotify.com/album/4FWvo9oS4gRgHtAwDwUjiO?si=b2O3yeR2SoWM49djDn8IPQ,,,,,,,,
Collision Course (Deluxe Version),"Jay-Z, Linkin Park",2004,21,6,00:03:30,,,,,https://open.spotify.com/album/5NH94cATqx5fjBE794xZLy?si=_8fl1QXTSrmZkI52_FZexQ,,,,,,,,
Hybrid Theory,Linkin Park,2000,38,12,00:03:09,,,,,https://open.spotify.com/album/2pKw6GERJVAD61449B1EEM?si=F77VIpxoS4Gz_wmbyTrbWA,,,,,,,,
Illmatic,Nas,1994,40,10,00:04:00,,,,,https://open.spotify.com/album/3kEtdS2pH6hKcMU9Wioob1?si=iXahb-sMSoWK6WD3vvnvgw,,,,,,,,
Selected Ambient Works 85-92,Aphex Twin,1992,74,13,00:05:41,,,,,https://open.spotify.com/album/7aNclGRxTysfh6z0d8671k?si=cOyu_07_QSei2zWlCirTwA,,,,,,,,
93 'til Infinity,Souls of Mischief,1993,53,14,00:03:47,,,,,https://open.spotify.com/album/7aSjaEi3OQ2aZemcJDhMb1?si=VRQoRBFsR5OOR28aMVg71w,,,,,,,,
Aquemini,OutKast,1998,74,16,00:04:37,,,,,https://open.spotify.com/album/5ceB3rxgXqIRpsOvVzTG28?si=5E-YRKmNQKOoQdq4GH2eiA,,,,,,,,
Stankonia,OutKast,2000,73,24,00:03:02,,,,,https://open.spotify.com/album/2tm3Ht61kqqRZtIYsBjxEj?si=OJJ3PAeHTjaEXCCzRktr-w,,,,,,,,
Be,Common,2005,43,11,00:03:54,,,,,https://open.spotify.com/album/2UuvBxV56QWWj2uviGS0up?si=BoSGCvW5Tty_VFG4JCSqbA,,,,,,,,
The Eminem Show,Eminem,2002,77,20,00:03:51,,,,,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo?si=Xqf2F_ZPTiuEy1Domz4XlA,,,,,,,,
The Marshall Mathers LP,Eminem,2000,72,18,00:04:00,,,,,https://open.spotify.com/album/6t7956yu5zYf5A829XRiHC?si=Hn6yia_uRpiwBse5OLu-lA,,,,,,,,
Bandana,"Freddie Gibbs, Madlib",2019,46,15,00:03:04,,,,,https://open.spotify.com/album/31KbO7WnDp2AjPdmRTJzdf?si=BQORyPLqQFuSGudcp_DA2A,,,,,,,,
Alfredo,"Freddie Gibbs, The Alchemist",2020,35,10,00:03:30,,,,,https://open.spotify.com/album/3znl1qe13kyjQv7KcR685N?si=l2tnMArgQ16jGn_hq7yjqQ,,,,,,,,
Toxicity,System Of A Down,2001,44,15,00:02:55,,,,,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh?si=3KmEY860Q9y_EjMZ2rgflg,,,,,,,,
"Revolutionary, Vol.2",Immortal Technique,2003,67,18,00:03:43,,,,,https://open.spotify.com/album/7wFFgBFdFJDvAM8ZHue160?si=7NrZcIoMQg-_zEWaq6KgvA,,,,,,,,
"Revolutionary, Vol.1",Immortal Technique,2001,58,16,00:03:37,,,,,https://open.spotify.com/album/1lOegkmEfMEMhHy0loZKXV?si=tXQUovsTRv2JNMubjT_0Lg,,,,,,,,
Currents,Tame Impala,2015,51,13,00:03:55,,,,,https://open.spotify.com/album/79dL7FLiJFOO0EoehUHQBv?si=E8V1B0zaRSqORnkJJsmFRQ,,,,,,,,
DAMN.,Kendrick Lamar,2017,55,14,00:03:55,,,,,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY?si=JbRmXtTaRKCVQJHBdEhV3w,,,,,,,,
"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,92,17,00:05:24,,,,,https://open.spotify.com/album/3DGQ1iZ9XKUQxAUWjfC34w?si=gYIPg1OHT1SBUW3xbqUPgQ,,,,,,,,
Section.80,Kendrick Lamar,2011,54,15,00:03:36,,,,,https://open.spotify.com/album/1bkN9nIkkCnXeG4yitVS1J?si=T7_1kl3sSOuHqHHbiynNUw,,,,,,,,
Mr.Morale & The Big Steppers,Kendrick Lamar,2022,78,19,00:04:06,,,,,https://open.spotify.com/album/79ONNoS4M9tfIA1mYLBYVX?si=EBS0HSV_Qrym3kqKCoIIKA,,,,,,,,
Man On The Moon: The End Of Day,Kid Cudi,2009,68,18,00:03:46,,,,,https://open.spotify.com/album/2S8AWAM0nxyFy66YnUfIs3?si=qJJZ3U5rQPas5UcPKbhH4w,,,,,,,,
Man On The Moon III: The Chosen,Kid Cudi,2020,58,18,00:03:13,,,,,https://open.spotify.com/album/64nbgEEIcY4g1ElVLONJ0w?si=JjwLo0gOT7K9kpR5rMmFUQ,,,,,,,,
Mother Earth's Plantasia,Mort Garson,1976,31,10,00:03:06,,,,,https://open.spotify.com/album/0NJRPgK15C8qoLuQv1hChv?si=gG2mkZodT9CHX4OQzXEFvg,,,,,,,,
2014 Forest Hills Drive,J.Cole,2014,64,13,00:04:55,,,,,https://open.spotify.com/album/0UMMIkurRUmkruZ3KGBLtG?si=99CoastvShSLKUE-Q92nrw,,,,,,,,
4 Your Eyez Only,J.Cole,2016,45,10,00:04:30,,,,,https://open.spotify.com/album/3CCnGldVQ90c26aFATC1PW?si=gqzDbfuSRwmddBjPU3LOvw,,,,,,,,
Spiritual State,Nujabes,2011,60,14,00:04:17,,,,,https://open.spotify.com/album/724juUMeWRW82bDoyH91Vd?si=K14CrPQMQHKFdCYr5ggsyQ,,,,,,,,
Metaphorical Music,Nujabes,2003,62,15,00:04:08,,,,,https://open.spotify.com/album/5FrjDW96mCYw9ECc74c637?si=2BUhuvCYRgyMXe3Z9hJ2zg,,,,,,,,
Good Girl Gone Bad: Reloaded,Rihanna,2008,57,15,00:03:48,,,,,https://open.spotify.com/album/3JSWZWeTHF4HDGt5Eozdy7?si=mJYAizzUS3-tXyfk25ZHsw,,,,,,,,
Rodeo,Travis Scott,2015,75,16,00:04:41,,,,,https://open.spotify.com/album/4PWBTB6NYSKQwfo79I3prg?si=xBoJLaGAQnO5IpnS_ecN9Q,,,,,,,,
IGOR,"Tyler, The Creator",2019,40,12,00:03:20,,,,,https://open.spotify.com/album/5zi7WsKlIiUXv09tbGLKsE?si=7cxJQVUVRuSnuVNPhGTAfA,,,,,,,,
Flower Boy,"Tyler, The Creator",2017,47,14,00:03:21,,,,,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o?si=xO30p1HPScWXzwo6BfL5xQ,,,,,,,,
CALL ME IF YOU GET LOST,"Tyler, The Creator",2021,53,16,00:03:18,,,,,https://open.spotify.com/album/45ba6QAtNrdv6Ke4MFOKk9?si=QKgOJSuTTRWybYk-WYdpWQ,,,,,,,,
AT.LONG.LAST.A$AP,A$AP Rocky,2015,66,18,00:03:39,,,,,https://open.spotify.com/album/3arNdjotCvtiiLFfjKngMc?si=t40lRAQbTDGZJ9GusVql6Q,,,,,,,,
channel ORANGE,Frank Ocean,2012,56,17,00:03:17,,,,,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8?si=AfLB4MLLSASgqcaqfWy3iw,,,,,,,,
Blonde,Frank Ocean,2016,60,17,00:03:31,,,,,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf?si=9qGsJkLoRy6yLeuhVhX_BQ,,,,,,,,
black ben carson,JPEGMAFIA,2016,146,38,00:03:50,,,,,https://open.spotify.com/album/1oDgCslpzVA6zATNLPFo7f?si=KvGgjsc3Q26US5zgY4Y4XA,,,,,,,,
Veteran,JPEGMAFIA,2018,47,19,00:02:28,,,,,https://open.spotify.com/album/51WLEfPEEkzAWurvuY6Gco?si=uznQ7FiJRsmzvxwGDDS8sA,,,,,,,,
LP!,JPEGMAFIA,2021,49,18,00:02:43,,,,,https://open.spotify.com/album/4inXqcdjG79gV4m2mU8dQh?si=FN7sZA1zT8KmQjwe93xoBQ,,,,,,,,
All My Heroes Are Cornballs,JPEGMAFIA,2019,45,18,00:02:30,,,,,https://open.spotify.com/album/5ilsl5R2lGACTnPZMKIp7o?si=jqlEjsbrTLypnJx21ERhLQ,,,,,,,,
Donuts,J Dilla,2006,44,31,00:01:25,,,,,https://open.spotify.com/album/5fMlysqhFE0itGn4KezMBW?si=p2W8rc14Q8mQh6m-iZ1DYA,,,,,,,,
Take Care,Drake,2011,83,19,00:04:22,,,,,https://open.spotify.com/album/1XslIirSxfAhhxRdn4Li9t?si=i_53mml4T6ivflcXj14zrw,,,,,,,,
Nothing Was The Same,Drake,2013,59,13,00:04:32,,,,,https://open.spotify.com/album/1XslIirSxfAhhxRdn4Li9t?si=QAPM5l1yTwmEiCfqhO7jUA,,,,,,,,
Swimming,Mac Miller,2018,59,13,00:04:32,,,,,https://open.spotify.com/album/5wtE5aLX5r7jOosmPhJhhk?si=2_SDrHHuTbiYwV-QRAe43Q,,,,,,,,
Circles,Mac Miller,2020,49,12,00:04:04,,,,,https://open.spotify.com/album/5sY6UIQ32GqwMLAfSNEaXb?si=tQBj_KP-TI6oD5B-LNX9aA,,,,,,,,
Meteora,Linkin Park,2003,37,13,00:02:50,,,,,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3?si=oW7kQI-yTRO8ll3C9fA5dg,,,,,,,,
THE MOUSE & THE MASK,"MF DOOM, Danger Mouse",2005,47,13,00:03:36,,,,,https://open.spotify.com/album/6TgkNOiJxeSkVVbXV720B1?si=hiLPYXslQZeI97s7Ld9jYg,,,,,,,,
Playboi Carti,Playboi Carti,2017,47,15,00:03:08,,,,,https://open.spotify.com/album/4rJgzzfFHAVFhCSt2P4I3j?si=fPBMQBmIQ22wLw0x0MV1CQ,,,,,,,,
Die Lit,Playboi Carti,2018,58,19,00:03:03,,,,,https://open.spotify.com/album/7dAm8ShwJLFm9SaJ6Yc58O?si=8CLHKUqGQJGG8dQBpGeCbw,,,,,,,,
Escapism,SoulChef,2010,23,16,00:01:26,,,,,https://open.spotify.com/album/3ptoHHpyEFkJAmQFKJCSu5?si=bL8iahQzQPi5T30E_GJikw,,,,,,,,
